"TOA5","CR1000XSeries_1","CR1000X","8302","CR1000X.Std.02.00","CPU:LineQuantum.CR1X","29888","Quantum"
"TIMESTAMP","RECORD","BattV_Min","PanelT","PPF1_Avg","PPF2_Avg","PPF3_Avg","PPF4_Avg","PPF5_Avg","PPF_above_Avg"
"TS","RN","","","","","","","",""
"","","Min","Smp","Avg","Avg","Avg","Avg","Avg","Avg"
"2019-08-21 11:37:18.5",60,13.35266,32.20529,1204.372,1183.803,145.2986,150.2371,182.4754,1107.796
"2019-08-21 11:37:19",61,13.35287,32.20959,1000.422,972.0453,144.4997,148.596,180.9564,848.0072
"2019-08-21 11:37:19.5",62,13.35277,32.21393,816.9212,802.2322,143.0546,146.8398,179.5776,729.8807
"2019-08-21 11:37:20",63,13.35279,32.21814,763.0143,752.8674,140.7558,145.6945,178.8701,681.5416
"2019-08-21 11:37:20.5",64,13.3528,32.22256,727.8794,718.2646,139.2288,145.1517,178.431,644.5105
"2019-08-21 11:37:21",65,13.35291,32.22705,691.5862,681.3492,139.8102,144.9614,178.5825,622.0084
"2019-08-21 11:37:21.5",66,13.35282,32.2316,696.0394,695.9817,139.8147,145.072,179.155,636.2657
"2019-08-21 11:37:22",67,13.35292,32.23581,751.2619,761.5836,140.0861,145.4293,180.1832,691.4661
"2019-08-21 11:37:22.5",68,13.35279,32.24023,797.1618,801.6265,140.4525,145.8149,181.3011,712.5709
"2019-08-21 11:37:23",69,13.35276,32.24472,803.9551,817.0428,140.6449,146.0865,182.4788,730.9273
"2019-08-21 11:37:23.5",70,13.35281,32.24908,844.211,857.5686,140.9822,146.3802,183.8686,760.9265
"2019-08-21 11:37:24",71,13.35277,32.25339,852.0114,862.8799,141.9712,147.1605,187.0686,753.3684
"2019-08-21 11:37:24.5",72,13.35286,32.25775,836.3277,848.1054,141.7598,146.5272,186.1948,743.9826
"2019-08-21 11:37:25",73,13.35278,32.26242,834.3992,846.1819,142.085,146.6296,187.3831,742.8567
"2019-08-21 11:37:25.5",74,13.35258,32.267,828.1567,839.9681,142.1634,146.6231,188.3294,745.2225
"2019-08-21 11:37:26",75,13.35276,32.27103,842.0554,858.0937,142.4542,146.8663,189.3533,792.9869
"2019-08-21 11:37:26.5",76,13.35267,32.2753,899.3167,916.2839,143.0424,147.4094,190.576,846.8859
"2019-08-21 11:37:27",77,13.35269,32.27982,911.012,921.9503,143.3521,147.6573,191.3023,817.4518
"2019-08-21 11:37:27.5",78,13.35268,32.28397,855.8986,862.0901,142.9854,147.4599,191.5998,744.0845
"2019-08-21 11:37:28",79,13.35259,32.28857,776.8932,781.3511,142.4552,147.262,191.8302,688.2078
"2019-08-21 11:37:28.5",80,13.35258,32.29309,718.5981,725.6591,142.0748,147.3282,192.3015,666.6768
"2019-08-21 11:37:29",81,13.35262,32.29724,698.0622,705.7645,142.0054,147.7666,192.9886,653.9324
"2019-08-21 11:37:29.5",82,13.35271,32.30164,693.2537,701.9982,142.0848,148.3585,193.7067,645.7521
"2019-08-21 11:37:30",83,13.3526,32.3056,727.1498,743.17,142.4716,149.2809,194.8083,718.8329
"2019-08-21 11:37:30.5",84,13.35246,32.31042,835.1871,856.5215,143.368,150.6255,196.3788,842.4366
"2019-08-21 11:37:31",85,13.35252,32.31458,955.1764,977.2156,144.6315,152.2781,198.4238,974.5308
"2019-08-21 11:37:31.5",86,13.35256,32.31885,1061.749,1082.95,145.9848,153.9948,200.4161,1086.958
"2019-08-21 11:37:32",87,13.35258,32.3233,1157.984,1184.986,147.3987,155.5632,202.2413,1214.268
"2019-08-21 11:37:32.5",88,13.35257,32.32745,1267.725,1291.727,148.728,156.8777,203.5683,1286.2
"2019-08-21 11:37:33",89,13.35258,32.33215,1310.984,1334.512,149.5389,157.8051,204.4443,1323.953
"2019-08-21 11:37:33.5",90,13.35253,32.33643,1349.036,1372.995,150.125,158.6246,205.0809,1366.284
"2019-08-21 11:37:34",91,13.35246,32.34082,1371.706,1394.806,150.7301,159.4986,205.6599,1393.25
"2019-08-21 11:37:34.5",92,13.35257,32.34512,1385.229,1407.081,151.1345,160.0455,205.5716,1396.354
"2019-08-21 11:37:35",93,13.35244,32.34915,1389.711,1411.764,151.4236,160.4797,205.4034,1402.083
"2019-08-21 11:37:35.5",94,13.35238,32.35367,1395.807,1417.431,151.7133,160.7835,205.0063,1405.357
"2019-08-21 11:37:36",95,13.35252,32.35809,1396.604,1417.606,151.8632,161.1312,204.5956,1407.232
"2019-08-21 11:37:36.5",96,13.35239,32.36234,1397.934,1420.931,152.0401,161.5408,204.084,1420.27
"2019-08-21 11:37:37",97,13.35246,32.36646,1406.169,1428.638,152.22,161.9044,203.4241,1421.087
"2019-08-21 11:37:37.5",98,13.35233,32.37033,1403.793,1425.488,152.2995,162.2089,202.7881,1415.897
"2019-08-21 11:37:38",99,13.35234,32.37421,1395.31,1415.39,152.3578,162.4315,202.1539,1408.829
"2019-08-21 11:37:38.5",100,13.35236,32.37833,1386.237,1407.194,152.2977,162.4539,201.2321,1398.655
"2019-08-21 11:37:39",101,13.3524,32.38257,1382.871,1405.202,152.3558,162.5732,200.5216,1400.307
"2019-08-21 11:37:39.5",102,13.35245,32.38715,1382.718,1403.806,152.5265,162.7971,199.9422,1397.956
"2019-08-21 11:37:40",103,13.35231,32.39178,1378.517,1398.987,152.5203,162.8393,199.3913,1398.49
"2019-08-21 11:37:40.5",104,13.35229,32.39587,1377.218,1398.821,482.9159,162.872,198.9993,1398.422
"2019-08-21 11:37:41",105,13.35232,32.39993,1384.484,1406.754,609.3022,163.0926,198.9102,1404.493
"2019-08-21 11:37:41.5",106,13.35223,32.40424,1385.511,1405.831,659.5535,163.3243,198.731,1403.932
"2019-08-21 11:37:42",107,13.35223,32.40839,1382.404,1404.055,672.9063,163.0833,198.1447,1405.009
"2019-08-21 11:37:42.5",108,13.35213,32.41263,1384.579,1407.771,666.6276,163.0454,197.7864,1411.261
"2019-08-21 11:37:43",109,13.35222,32.41638,1384.356,1405.542,703.9832,163.1212,197.6833,1404.566
"2019-08-21 11:37:43.5",110,13.35221,32.42081,1377.762,1400.47,710.3522,163.0956,197.3325,1404.402
"2019-08-21 11:37:44",111,13.35217,32.42517,1385.556,1407.95,665.0443,163.2914,197.385,1413.735
"2019-08-21 11:37:44.5",112,13.35222,32.42963,1393.975,1414.273,744.5346,163.0536,196.9845,1417.196
"2019-08-21 11:37:45",113,13.35221,32.43399,1393.146,1415.703,726.0472,162.8952,196.5071,1413.722
"2019-08-21 11:37:45.5",114,13.35212,32.43781,1392.443,1412.51,629.5011,162.9315,196.4965,1411.323
"2019-08-21 11:37:46",115,13.35209,32.44226,1391.181,1412.447,682.6917,163.0124,196.4902,1414.321
"2019-08-21 11:37:46.5",116,13.35215,32.44647,1390.359,1411.546,691.0631,162.8081,196.2131,1410.096
"2019-08-21 11:37:47",117,13.3521,32.45071,1391.17,1410.898,619.5172,162.7489,196.0824,1411.762
"2019-08-21 11:37:47.5",118,13.35215,32.45462,1390.332,1412.55,774.0347,162.8758,196.2006,1414.347
"2019-08-21 11:37:48",119,13.35206,32.45914,1391.713,1412.707,712.8243,163.0064,196.2138,1413.077
"2019-08-21 11:37:48.5",120,13.35218,32.46332,1391.537,1414.844,715.3649,162.8427,196.079,1417.672
"2019-08-21 11:37:49",121,13.35208,32.46768,1394.729,1416.307,661.8463,162.6399,195.9079,1419.724
"2019-08-21 11:37:49.5",122,13.35208,32.47168,1395.084,1416.225,719.3107,162.5891,195.8633,1417.073
"2019-08-21 11:37:50",123,13.3509,32.47577,1395.45,1417.384,710.8701,162.5348,195.7569,1418.552
"2019-08-21 11:37:50.5",124,13.34843,32.47986,1396.749,1417.798,653.7732,162.4288,195.6775,1422.954
"2019-08-21 11:37:51",125,13.34849,32.48334,1396.798,1418.303,705.7587,162.3392,195.5785,1421.098
"2019-08-21 11:37:51.5",126,13.34847,32.48761,1397.799,1419.843,709.4543,162.2038,195.4662,1420.825
"2019-08-21 11:37:52",127,13.34821,32.49203,1398.099,1420.315,702.8054,162.0755,195.3519,1423.366
"2019-08-21 11:37:52.5",128,13.34812,32.49594,1398.03,1419.41,685.7597,161.969,195.2299,1424.427
"2019-08-21 11:37:53",129,13.35177,32.50113,1398.83,1420.881,678.3554,161.856,195.0908,1423.356
"2019-08-21 11:37:53.5",130,13.35174,32.50613,1397.649,1421.075,678.9694,161.7404,194.9314,1424.192
"2019-08-21 11:37:54",131,13.35161,32.51031,1396.974,1418.712,724.0353,161.6478,194.7685,1421.894
"2019-08-21 11:37:54.5",132,13.35141,32.51459,1400.061,1420.683,723.6528,161.6503,194.9442,1425.328
"2019-08-21 11:37:55",133,13.35159,32.51871,1400.76,1421.216,668.3944,162.0479,195.535,1428.335
"2019-08-21 11:37:55.5",134,13.35171,32.52286,1402.477,1422.952,803.4115,161.9807,195.4485,1430.733
"2019-08-21 11:37:56",135,13.35169,32.52707,1404.546,1427.232,789.8737,161.9249,195.3383,1432.402
"2019-08-21 11:37:56.5",136,13.35168,32.53024,1409.186,1430.498,704.4542,161.7197,194.9389,1436.936
"2019-08-21 11:37:57",137,13.35171,32.53394,1412.617,1435.282,573.1337,161.3598,194.4787,1438.759
"2019-08-21 11:37:57.5",138,13.35171,32.53787,1415.008,1438.608,703.865,161.2016,194.2644,1444.328
"2019-08-21 11:37:58",139,13.35159,32.5419,1420.939,1441.431,758.967,161.1368,194.1641,1447.71
"2019-08-21 11:37:58.5",140,13.35172,32.54596,1421.705,1443.583,732.5637,161.0895,194.0694,1446.672
"2019-08-21 11:37:59",141,13.35161,32.55054,1422.185,1443.301,715.9146,161.0432,193.9717,1446.514
"2019-08-21 11:37:59.5",142,13.35169,32.55463,1420.868,1442.408,684.0573,160.9875,193.8867,1447.729
"2019-08-21 11:38:00",143,13.35165,32.55927,1419.195,1441.119,589.4395,160.8932,193.7971,1446.351
"2019-08-21 11:38:00.5",144,13.3517,32.56357,1419.102,1437.832,454.3159,160.7747,193.6897,1444.054
