ID	Lodging	Grade	Area	Severity	Score	PLOTID
556	yes	H	100	3	100	19EF0442
557	yes	H	100	3	100	19EF0441
558	yes	M	90	2	60	
559	no					
560	no					
561	no					19EF0481
562	no					19EF0482
563	yes	M	70	2	46.67	19EF0483
564	no					19EF0484
565	no					19EF0485
566	no					19EF0486
567	no					19EF0487
568	no					19EF0488
569	no					19EF0489
570	no					19EF0490
571	no					19EF0491
572	no					19EF0492
573	yes	H	90	3	90	19EF0493
574	yes	H	100	3	100	19EF0494
575	yes	M	40	2	26.67	19EF0495
576	no					19EF0496
577	no					19EF0497
578	yes	L	50	1	16.67	19EF0498
579	no					19EF0499
580	no					19EF0500
581	no					19EF0501
582	no					19EF0502
583	no					19EF0503
584	yes	M	60	2	40	19EF0504
585	no					19EF0505
586	no					19EF0506
587	no					19EF0507
588	yes	M	70	2	46.67	19EF0508
589	no					19EF0509
590	no					19EF0510
591	no					19EF0511
592	no					19EF0512
593	no					19EF0513
594	no					19EF0514
595	no					19EF0515
596	yes	M	100	2	66.67	19EF0516
597	yes	M	100	2	66.67	19EF0517
598	no					19EF0518
599	no					19EF0519
600	no					19EF0520
601	no					
602	no					
603	no					
604	yes	M	80	2	53.33	19EF0560
605	yes	H	80	3	80	19EF0559
606	yes	H	90	3	90	19EF0558
607	yes	L	70	1	23.33	19EF0557
608	no					19EF0556
609	no					19EF0555
610	no					19EF0554
611	no					19EF0553
612	no					19EF0552
613	no					19EF0551
614	no					19EF0550
615	yes	L	70	1	23.33	19EF0549
616	no					19EF0548
617	no					19EF0547
618	no					19EF0546
619	yes	L	70	1	23.33	19EF0545
620	no					19EF0544
621	yes	L	80	1	26.67	19EF0543
622	no					19EF0542
623	yes	L	100	1	33.33	19EF0541
624	no					19EF0540
625	no					19EF0539
626	no					19EF0538
627	yes	H	60	3	60	19EF0537
628	no					19EF0536
629	no					19EF0535
630	no					19EF0534
631	no					19EF0533
632	yes	H	60	3	60	19EF0532
633	no					19EF0531
634	no					19EF0530
635	no					19EF0529
636	no					19EF0528
637	yes	M	60	2	40	19EF0527
638	no					19EF0526
639	no					19EF0525
640	no					19EF0524
641	no					19EF0523
642	no					19EF0522
643	no					19EF0521
644	yes	L	100	1	33.33	
645	no					
646	no					
647	yes	L	80	1	26.67	19EF0561
648	yes	L	100	1	33.33	19EF0562
649	no					19EF0563
650	yes	M	90	2	60	19EF0564
651	yes	M	100	2	66.67	19EF0565
652	no					19EF0566
653	no					19EF0567
654	no					19EF0568
655	no					19EF0569
656	yes	L	80	1	26.67	19EF0570
657	no					19EF0571
658	no					19EF0572
659	no					19EF0573
660	yes	M	80	2	53.33	19EF0574
661	yes	L	80	1	26.67	19EF0575
662	no					19EF0576
663	no					19EF0577
664	no					19EF0578
665	no					19EF0579
666	no					19EF0580
667	no					19EF0581
668	no					19EF0582
669	no					19EF0583
670	no					19EF0584
671	yes	M	80	2	53.33	19EF0585
672	yes	H	60	3	60	19EF0586
673	yes	M	80	2	53.33	19EF0587
674	yes	M	70	2	46.67	19EF0588
675	no					19EF0589
676	yes	M	80	2	53.33	19EF0590
677	no					19EF0591
678	yes	L	80	1	26.67	19EF0592
679	yes	H	80	3	80	19EF0593
680	yes	M	60	2	40	19EF0594
681	yes	H	60	3	60	19EF0595
682	no					19EF0596
683	no					19EF0597
684	no					19EF0598
685	no					19EF0599
686	no					19EF0600
687	no					
688	yes	L	80	1	26.67	
689	yes	M	60	2	40	
690	yes	H	90	3	90	19EF0640
691	yes	H	70	3	70	19EF0639
692	no					19EF0638
693	no					19EF0637
694	no					19EF0636
695	no					19EF0635
696	no					19EF0634
697	yes	M	40	2	26.67	19EF0633
698	no					19EF0632
699	no					19EF0631
700	yes	L	100	1	33.33	19EF0630
701	no					19EF0629
702	no					19EF0628
703	yes	M	90	2	60	19EF0627
704	no					19EF0626
705	no					19EF0625
706	yes	L	70	1	23.33	19EF0624
707	no					19EF0623
708	no					19EF0622
709	no					19EF0621
710	no					19EF0620
711	no					19EF0619
712	yes	M	60	2	40	19EF0618
713	yes	L	80	1	26.67	19EF0617
714	yes	H	80	3	80	19EF0616
715	no					19EF0615
716	no					19EF0614
717	no					19EF0613
718	no					19EF0612
719	no					19EF0611
720	no					19EF0610
721	no					19EF0609
722	yes	L	80	1	26.67	19EF0608
723	no					19EF0607
724	no					19EF0606
725	no					19EF0605
726	no					19EF0604
727	no					19EF0603
728	no					19EF0602
729	no					19EF0601
730	no					
731	no					
732	yes	L	80	1	26.67	
733	no					19EF0641
734	no					19EF0642
735	no					19EF0643
736	no					19EF0644
737	no					19EF0645
738	no					19EF0646
739	yes	H	60	3	60	19EF0647
740	yes	M	60	2	40	19EF0648
741	no					19EF0649
742	no					19EF0650
743	no					19EF0651
744	no					19EF0652
745	no					19EF0653
746	no					19EF0654
747	no					19EF0655
748	no					19EF0656
749	no					19EF0657
750	no					19EF0658
751	no					19EF0659
752	no					19EF0660
753	yes	L	70	1	23.33	19EF0661
754	no					19EF0662
755	no					19EF0663
756	no					19EF0664
757	no					19EF0665
758	no					19EF0666
759	no					19EF0667
760	no					19EF0668
761	yes	M	70	2	46.67	19EF0669
762	no					19EF0670
763	no					19EF0671
764	yes	L	100	1	33.33	19EF0672
765	yes	H	90	3	90	19EF0673
766	no					19EF0674
767	yes	M	60	2	40	19EF0675
768	no					19EF0676
769	yes	H	100	3	100	19EF0677
770	no					19EF0678
771	no					19EF0679
772	no					19EF0680
773	no					
774	no					
775	yes	M	80	2	53.33	
776	no					19EF0720
777	no					19EF0719
778	yes	M	80	2	53.33	19EF0718
779	no					19EF0717
780	no					19EF0716
781	no					19EF0715
782	no					19EF0714
783	no					19EF0713
784	yes	M	90	2	60	19EF0712
785	no					19EF0711
786	no					19EF0710
787	no					19EF0709
788	no					19EF0708
789	yes	H	90	3	90	19EF0707
790	no					19EF0706
791	no					19EF0705
792	no					19EF0704
793	yes	L	100	1	33.33	19EF0703
794	no					19EF0702
795	no					19EF0701
796	no					19EF0700
797	no					19EF0699
798	no					19EF0698
799	no					19EF0697
800	no					19EF0696
801	yes	H	80	3	80	19EF0695
802	no					19EF0694
803	yes	H	80	3	80	19EF0693
804	yes	H	90	3	90	19EF0692
805	no					19EF0691
806	no					19EF0690
807	no					19EF0689
808	yes	H	80	3	80	19EF0688
809	yes	M	60	2	40	19EF0687
810	no					19EF0686
811	no					19EF0685
812	yes	H	90	3	90	19EF0684
813	no					19EF0683
814	yes	H	80	3	80	19EF0682
815	no					19EF0681
816	no					
817	yes	L	80	1	26.67	
818	no					
819	yes	L	100	1	33.33	19EF0721
820	no					19EF0722
821	no					19EF0723
822	yes	H	70	3	70	19EF0724
823	yes	M	60	2	40	19EF0725
824	no					19EF0726
825	no					19EF0727
826	no					19EF0728
827	no					19EF0729
828	no					19EF0730
829	no					19EF0731
830	yes	M	60	2	40	19EF0732
831	yes	M	90	2	60	19EF0733
832	yes	M	80	2	53.33	19EF0734
833	yes	M	70	2	46.67	19EF0735
834	no					19EF0736
835	no					19EF0737
836	no					19EF0738
837	no					19EF0739
838	yes	M	90	2	60	19EF0740
839	no					19EF0741
840	yes	M	80	2	53.33	19EF0742
841	no					19EF0743
842	yes	M	70	2	46.67	19EF0744
843	yes	M	80	2	53.33	19EF0745
844	no					19EF0746
845	yes	L	70	1	23.33	19EF0747
846	yes	H	70	3	70	19EF0748
847	yes	H	70	3	70	19EF0749
848	yes	M	100	2	66.67	19EF0750
849	yes	M	70	2	46.67	19EF0751
850	yes	L	70	1	23.33	19EF0752
851	no					19EF0753
852	yes	L	80	1	26.67	19EF0754
853	yes	H	80	3	80	19EF0755
854	yes	M	80	2	53.33	19EF0756
855	no					19EF0757
856	yes	H	60	3	60	19EF0758
857	yes	H	100	3	100	19EF0759
858	yes	H	80	3	80	19EF0760
859	yes	M	70	2	46.67	
860	no					
861	yes	M	70	2	46.67	
862	yes	H	70	3	70	19EF0800
863	yes	M	60	2	40	19EF0799
864	no					19EF0798
865	no					19EF0797
866	no					19EF0796
867	no					19EF0795
868	no					19EF0794
869	yes	M	80	2	53.33	19EF0793
870	no					19EF0792
871	no					19EF0791
872	no					19EF0790
873	no					19EF0789
874	yes	M	90	2	60	19EF0788
875	no					19EF0787
876	no					19EF0786
877	no					19EF0785
878	yes	L	50	1	16.67	19EF0784
879	no					19EF0783
880	no					19EF0782
881	yes	M	100	2	66.67	19EF0781
882	yes	H	100	3	100	19EF0780
883	yes	H	70	3	70	19EF0779
884	no					19EF0778
885	yes	H	50	3	50	19EF0777
886	yes	H	90	3	90	19EF0776
887	yes	H	100	3	100	19EF0775
888	no					19EF0774
889	yes	M	90	2	60	19EF0773
890	yes	H	90	3	90	19EF0772
891	yes	H	90	3	90	19EF0771
892	yes	H	80	3	80	19EF0770
893	yes	M	90	2	60	19EF0769
894	yes	M	90	2	60	19EF0768
895	yes	M	100	2	66.67	19EF0767
896	yes	M	60	2	40	19EF0766
897	yes	H	90	3	90	19EF0765
898	yes	H	100	3	100	19EF0764
899	yes	H	100	3	100	19EF0763
900	yes	H	70	3	70	19EF0762
901	no					19EF0761
902	no					
903	yes	L	100	1	33.33	
904	no					
905	yes	H	80	3	80	19EF0801
906	no					19EF0802
907	no					19EF0803
908	no					19EF0804
909	no					19EF0805
910	no					19EF0806
911	yes	H	100	3	100	19EF0807
912	no					19EF0808
913	no					19EF0809
914	yes	L	100	1	33.33	19EF0810
915	no					19EF0811
916	no					19EF0812
917	no					19EF0813
918	no					19EF0814
919	no					19EF0815
920	yes	M	70	2	46.67	19EF0816
921	no					19EF0817
922	no					19EF0818
923	no					19EF0819
924	no					19EF0820
925	no					19EF0821
926	no					19EF0822
927	no					19EF0823
928	no					19EF0824
929	no					19EF0825
930	no					19EF0826
931	yes	L	80	1	26.67	19EF0827
932	no					19EF0828
933	yes	M	80	2	53.33	19EF0829
934	yes	M	80	2	53.33	19EF0830
935	no					19EF0831
936	no					19EF0832
937	no					19EF0833
938	no					19EF0834
939	no					19EF0835
940	yes	M	90	2	60	19EF0836
941	no					19EF0837
942	no					19EF0838
943	yes	M	100	2	66.67	19EF0839
944	yes	H	70	3	70	19EF0840
945	yes	M	60	2	40	
946	no					
947	no					
948	no					19EF0880
949	yes	M	80	2	53.33	19EF0879
950	no					19EF0878
951	no					19EF0877
952	no					19EF0876
953	no					19EF0875
954	no					19EF0874
955	no					19EF0873
956	no					19EF0872
957	yes	M	70	2	46.67	19EF0871
958	no					19EF0870
959	no					19EF0869
960	no					19EF0868
961	no					19EF0867
962	no					19EF0866
963	no					19EF0865
964	no					19EF0864
965	no					19EF0863
966	no					19EF0862
967	no					19EF0861
968	yes	M	70	2	46.67	19EF0860
969	no					19EF0859
970	no					19EF0858
971	no					19EF0857
972	no					19EF0856
973	yes	M	80	2	53.33	19EF0855
974	yes	H	90	3	90	19EF0854
975	yes	H	100	3	100	19EF0853
976	yes	H	100	3	100	19EF0852
977	yes	M	100	2	66.67	19EF0851
978	yes	M	60	2	40	19EF0850
979	no					19EF0849
980	no					19EF0848
981	yes	L	100	1	33.33	19EF0847
982	no					19EF0846
983	yes	H	70	3	70	19EF0845
984	yes	M	80	2	53.33	19EF0844
985	no					19EF0843
986	yes	M	60	2	40	19EF0842
987	yes	M	60	2	40	19EF0841
988	no					
989	no					
990	no					
991	no					19EF0881
992	no					19EF0882
993	no					19EF0883
994	no					19EF0884
995	yes	M	90	2	60	19EF0885
996	no					19EF0886
997	no					19EF0887
998	no					19EF0888
999	no					19EF0889
1000	no					19EF0890
1001	no					19EF0891
1002	yes	H	90	3	90	19EF0892
1003	no					19EF0893
1004	no					19EF0894
1005	no					19EF0895
1006	no					19EF0896
1007	no					19EF0897
1008	yes	L	90	1	30	19EF0898
1009	no					19EF0899
1010	no					19EF0900
1011	yes	L	80	1	26.67	19EF0901
1012	no					19EF0902
1013	no					19EF0903
1014	no					19EF0904
1015	yes	M	70	2	46.67	19EF0905
1016	no					19EF0906
1017	no					19EF0907
1018	no					19EF0908
1019	no					19EF0909
1020	no					19EF0910
1021	no					19EF0911
1022	no					19EF0912
1023	yes	H	70	3	70	19EF0913
1024	yes	M	90	2	60	19EF0914
1025	no					19EF0915
1026	no					19EF0916
1027	yes	L	80	1	26.67	19EF0917
1028	yes	M	100	2	66.67	19EF0918
1029	no					19EF0919
1030	no					19EF0920
1031	no					
1032	no					
1033	no					
1034	no					19EF0960
1035	no					19EF0959
1036	no					19EF0958
1037	yes	M	70	2	46.67	19EF0957
1038	yes	L	90	1	30	19EF0956
1039	no					19EF0955
1040	no					19EF0954
1041	no					19EF0953
1042	no					19EF0952
1043	yes	M	70	2	46.67	19EF0951
1044	yes	H	60	3	60	19EF0950
1045	no					19EF0949
1046	no					19EF0948
1047	no					19EF0947
1048	yes	L	70	1	23.33	19EF0946
1049	no					19EF0945
1050	no					19EF0944
1051	no					19EF0943
1052	no					19EF0942
1053	no					19EF0941
1054	no					19EF0940
1055	yes	L	100	1	33.33	19EF0939
1056	yes	L	80	1	26.67	19EF0938
1057	yes	H	100	3	100	19EF0937
1058	yes	H	90	3	90	19EF0936
1059	no					19EF0935
1060	yes	L	100	1	33.33	19EF0934
1061	no					19EF0933
1062	yes	M	60	2	40	19EF0932
1063	no					19EF0931
1064	no					19EF0930
1065	no					19EF0929
1066	no					19EF0928
1067	yes	M	60	2	40	19EF0927
1068	yes	M	70	2	46.67	19EF0926
1069	no					19EF0925
1070	no					19EF0924
1071	no					19EF0923
1072	no					19EF0922
1073	no					19EF0921
1074	no					
1075	no					
1076	no					
1077	yes	L	70	1	23.33	
1078	no					
1079	no					
1080	no					
1081	yes	L	90	1	30	
1082	no					
1083	no					
1084	yes	M	80	2	53.33	
1085	yes	M	40	2	26.67	
1086	no					
1087	no					
1088	no					
1089	no					
1090	no					
1091	no					
1092	no					
1093	yes	L	90	1	30	
1094	no					
1095	no					
1096	no					
1097	no					
1098	no					
1099	yes	M	70	2	46.67	
1100	no					
1101	no					
1102	no					
1103	no					
1104	yes	L	90	1	30	
1105	no					
1106	yes	M	70	2	46.67	
1107	yes	M	60	2	40	
1108	yes	L	90	1	30	
1109	no					
1110	no					
1111	no					
1112	yes	M	70	2	46.67	
1113	yes	M	70	2	46.67	
1114	yes	M	70	2	46.67	
1115	no					
1116	no					
1117	no					
1118	yes	M	60	2	40	
