# These are copied from the output of the lidar height script,,,
# UTC-5,,,m
date,first_row,range,height
2019-06-25,33,14,0.26971286
2019-06-25,41,1,0.11421007
2019-06-25,21,10,0.19955634
2019-06-25,77,20,0.09850783
2019-06-25,117,13,0.09885827
2019-06-25,109,5,0.16152371
2019-06-25,89,5,0.14401323
2019-06-25,69,25,0.11244973
2019-06-25,129,10,0.13807486
2019-06-25,29,2,0.25123675
2019-06-25,13,6,0.52147532
2019-06-25,133,21,0.17661774
2019-06-25,69,13,0.13461874
2019-06-25,5,13,0.1921922
2019-06-25,141,15,0.18685802
2019-06-25,49,9,0.16829072
2019-06-25,33,18,0.1838064
2019-06-25,77,15,0.15603456
2019-06-25,65,15,0.13679235
2019-06-25,105,6,1.40739619
2019-06-25,117,9,0.13878637
2019-06-25,133,18,0.15710186
2019-06-25,9,12,0.16090076
2019-06-25,113,24,0.20596963
2019-06-25,85,19,0.15273976
2019-06-25,5,14,0.23556408
2019-06-25,25,17,0.13802631
2019-06-25,9,4,0.12569036
2019-06-25,29,14,0.22075352
2019-06-25,141,6,0.14673051
2019-06-25,101,1,0.15728778
2019-06-25,157,19,0.12628794
2019-06-25,73,3,0.19662031
2019-06-25,97,15,0.16773158
2019-06-25,125,23,0.21466857
2019-06-25,21,16,0.19701275
2019-06-25,93,26,0.17902026
2019-06-25,125,19,0.1198716
2019-06-25,113,1,0.17044137
2019-06-25,37,17,0.49711357
2019-06-25,93,17,0.12263958
2019-06-25,109,20,0.17514575
2019-06-25,9,15,0.27396419
2019-06-25,153,11,0.22335834
2019-06-25,73,8,0.10264201
2019-06-25,113,4,0.15912243
2019-06-25,1,1,0.15892093
2019-06-25,113,5,0.14998465
2019-06-25,69,7,0.17056386
2019-06-25,137,3,0.16097684
2019-06-25,153,8,0.18008319
2019-06-25,145,21,0.21613212
2019-06-25,93,7,0.13344605
2019-06-25,53,19,0.14862247
2019-06-25,105,8,0.14757523
2019-06-25,133,20,0.18146005
2019-06-25,137,6,0.1497879
2019-06-25,153,25,0.10311294
2019-06-25,13,10,0.2076515
2019-06-25,137,13,0.13649794
2019-06-25,89,2,0.13223605
2019-06-25,45,17,0.15211279
2019-06-25,21,17,0.17961763
2019-06-25,145,6,0.16857835
2019-06-25,69,14,0.17360982
2019-06-25,133,7,0.18339289
2019-06-25,57,18,0.18369377
2019-06-25,105,12,0.1615127
2019-06-25,101,21,0.13192869
2019-06-25,113,18,0.11998506
2019-06-25,37,2,0.18668392
2019-06-25,129,20,0.43849044
2019-06-25,101,24,0.14940178
2019-06-25,105,3,0.15037014
2019-06-25,53,9,0.12850001
2019-06-25,141,19,0.20193118
2019-06-25,37,11,0.21647045
2019-06-25,69,12,0.15734639
2019-06-25,89,22,0.1790036
2019-06-25,77,10,0.19143574
2019-06-25,149,16,0.17822665
2019-06-25,9,17,0.3060847
2019-06-25,101,20,0.11893382
2019-06-25,9,25,0.17995399
2019-06-25,69,15,0.15432673
2019-06-25,65,9,0.14894142
2019-06-25,141,7,0.79221441
2019-06-25,93,25,0.16234786
2019-06-25,97,2,0.16416988
2019-06-25,137,24,0.78355527
2019-06-25,5,16,0.18880902
2019-06-25,65,14,0.15528465
2019-06-25,57,2,0.16560443
2019-06-25,13,21,0.20197691
2019-06-25,1,3,0.19321777
2019-06-25,133,23,0.11913819
2019-06-25,153,16,0.68953585
2019-06-25,41,16,0.13753965
2019-06-25,69,20,0.16094453
2019-06-25,1,6,0.19726874
2019-06-25,105,10,0.16582934
2019-06-25,105,24,0.16089007
2019-06-25,73,9,0.17476548
2019-06-25,105,22,0.22633465
2019-06-25,85,8,0.19879167
2019-06-25,133,24,0.09089784
2019-06-25,49,3,0.12621451
2019-06-25,85,26,0.16555417
2019-06-25,145,5,0.1483611
2019-06-25,153,19,0.11079848
2019-06-25,13,15,0.17334504
2019-06-25,141,18,0.54203658
2019-06-25,45,8,0.11679842
2019-06-25,101,15,0.18295216
2019-06-25,89,26,0.12806771
2019-06-25,1,22,0.16683712
2019-06-25,73,4,0.12974773
2019-06-25,85,21,0.13533862
2019-06-25,73,25,0.08569963
2019-06-25,85,2,0.13146341
2019-06-25,69,8,0.15069492
2019-06-25,85,6,0.15911819
2019-06-25,133,26,0.17586972
2019-06-25,21,25,0.18476873
2019-06-25,69,9,0.19436728
2019-06-25,1,10,0.20704425
2019-06-25,81,14,0.13500124
2019-06-25,61,19,0.1831582
2019-06-25,61,4,0.21927211
2019-06-25,29,23,0.27677742
2019-06-25,113,8,0.167018
2019-06-25,89,3,0.18991261
2019-06-25,109,21,0.19409868
2019-06-25,25,11,0.20754058
2019-06-25,49,19,0.21119772
2019-06-25,29,3,0.20270895
2019-06-25,9,2,0.15472242
2019-06-25,77,25,0.12898775
2019-06-25,1,19,0.21042142
2019-06-25,49,4,0.17293741
2019-06-25,85,22,0.19076368
2019-06-25,13,23,0.19829256
2019-06-25,33,26,0.27530267
2019-06-25,145,12,0.15403955
2019-06-25,33,13,0.27071455
2019-06-25,53,26,0.15315815
2019-06-25,57,13,0.17748116
2019-06-25,93,24,0.18086679
2019-06-25,97,21,0.17265979
2019-06-25,145,3,0.23882604
2019-06-25,133,1,0.86127268
2019-06-25,85,18,0.15312487
2019-06-25,45,24,0.22021567
2019-06-25,145,10,0.18470608
2019-06-25,21,7,0.16545407
2019-06-25,9,26,0.26338038
2019-06-25,81,16,0.14317189
2019-06-25,17,24,0.21407949
2019-06-25,65,24,0.16344158
2019-06-25,41,5,0.1497443
2019-06-25,77,13,0.21000044
2019-06-25,97,6,0.21192117
2019-06-25,65,3,0.18901004
2019-06-25,89,24,0.17577775
2019-06-25,133,9,0.18083944
2019-06-25,93,16,0.14357153
2019-06-25,21,1,0.16138638
2019-06-25,141,17,0.13640312
2019-06-25,97,26,0.18549194
2019-06-25,29,20,0.28574706
2019-06-25,145,11,0.21188688
2019-06-25,85,12,0.14385193
2019-06-25,13,11,0.19935726
2019-06-25,129,1,0.14430579
2019-06-25,5,15,0.19011814
2019-06-25,117,17,0.12546254
2019-06-25,85,1,0.14443375
2019-06-25,13,2,0.18252272
2019-06-25,129,24,0.72317726
2019-06-25,81,25,0.15586062
2019-06-25,81,6,0.18687
2019-06-25,49,11,0.18088557
2019-06-25,9,18,0.1853696
2019-06-25,121,23,0.19803463
2019-06-25,117,10,0.12653507
2019-06-25,17,13,0.19640843
2019-06-25,37,10,0.17779599
2019-06-25,21,11,0.25364904
2019-06-25,137,4,0.1515442
2019-06-25,29,19,0.35040913
2019-06-25,17,4,0.16139375
2019-06-25,33,5,0.25844972
2019-06-25,125,9,0.15883865
2019-06-25,81,11,0.16147497
2019-06-25,73,16,0.13470453
2019-06-25,21,5,0.16428871
2019-06-25,53,17,0.15161243
2019-06-25,37,19,0.20764066
2019-06-25,81,4,0.2103836
2019-06-25,117,16,0.15983042
2019-06-25,33,21,0.27694441
2019-06-25,101,22,0.19214255
2019-06-25,37,23,0.1843435
2019-06-25,29,10,0.22022489
2019-06-25,73,11,0.13371898
2019-06-25,141,25,0.87051098
2019-06-25,25,9,0.19254813
2019-06-25,49,16,0.1424105
2019-06-25,117,21,0.18644408
2019-06-25,133,4,0.18164597
2019-06-25,49,23,0.18944004
2019-06-25,89,19,0.14592969
2019-06-25,69,6,0.20038132
2019-06-25,21,22,0.25349219
2019-06-25,1,26,0.20298537
2019-06-25,93,11,0.15661579
2019-06-25,157,9,0.24879407
2019-06-25,149,4,0.15745508
2019-06-25,61,18,0.09704307
2019-06-25,93,18,0.11848011
2019-06-25,109,6,0.17260179
2019-06-25,113,19,0.13073044
2019-06-25,53,8,0.13918208
2019-06-25,133,25,0.13218008
2019-06-25,105,7,0.17484138
2019-06-25,97,19,0.12493518
2019-06-25,33,6,0.18155087
2019-06-25,149,17,0.1490314
2019-06-25,73,20,0.16082274
2019-06-25,149,23,0.68069105
2019-06-25,133,3,0.23960511
2019-06-25,77,9,0.14190639
2019-06-25,57,14,0.1700206
2019-06-25,145,8,0.26834914
2019-06-25,149,12,0.2009905
2019-06-25,33,23,0.29980964
2019-06-25,125,8,0.21099798
2019-06-25,129,6,0.17000172
2019-06-25,25,25,0.30926234
2019-06-25,137,25,0.12704284
2019-06-25,141,5,0.15652762
2019-06-25,93,1,0.11668437
2019-06-25,121,18,0.12211141
2019-06-25,157,18,0.12255157
2019-06-25,41,7,0.19887418
2019-06-25,25,2,0.20652158
