plot_id,site_id,date,moisture_mass_fraction_nir,moisture_mass_fraction_oven,above_ground_dry_yield,starch_mass_fraction,protein_mass_fraction,adf_mass_fraction,ndf_mass_fraction
19EF0460,EF,2019-09-16,0.747,,2.092520601,0.29,0.069,0.268,0.381
19EF0461,EF,2019-09-13,0.760399551,,2.084640363,0.258400673,0.07587991,0.280839506,0.382159371
19EF0462,EF,2019-09-13,0.75451634,,2.567307394,0.263647059,0.07451634,0.27896732,0.377352941
19EF0463,EF,2019-09-13,0.74327899,,2.183460698,0.285174512,0.074,0.267216992,0.358825488
19EF0464,EF,2019-09-13,0.769892221,,2.397516091,0.251107779,0.076553889,0.284,0.386784442
19EF0465,EF,2019-09-12,0.75538386,,2.190383981,0.29061614,0.069,0.273,0.38238386
19EF0466,EF,2019-09-12,0.777362592,,2.650132897,0.266818704,0.071,0.289409352,0.400818704
19EF0467,EF,2019-09-12,0.775962656,,2.108935323,0.264834025,0.072,0.290545643,0.40723029
19EF0468,EF,2019-09-12,0.760164384,,2.393483206,0.282294521,0.068541096,0.278623288,0.394705479
19EF0469,EF,2019-09-12,0.785568678,,3.262281909,0.243862644,0.072428113,0.294709243,0.426562259
19EF0470,EF,2019-09-12,0.785216453,,3.110340761,0.252567094,0.072463924,0.29482468,0.414649359
19EF0471,EF,2019-09-12,0.760463235,,1.590548451,0.286380882,0.07,0.279619118,0.388775
19EF0472,EF,2019-09-12,0.776,,2.806341287,0.260211224,0.071,0.287788776,0.407183164
19EF0473,EF,2019-09-12,0.770251748,,2.245701886,0.272874126,0.072,0.278657343,0.38972028
19EF0474,EF,2019-09-12,0.753504912,,2.450314663,0.277495088,0.068,0.279252456,0.403669941
19EF0475,EF,2019-09-10,0.782108974,,1.991503173,0.23007906,0.077351496,0.296569444,0.404029915
19EF0476,EF,2019-09-10,0.776360406,,2.581261373,0.23119797,0.075639594,0.299162437,0.408243655
19EF0477,EF,2019-09-10,0.767754019,,2.821203396,0.226032958,0.076,0.302672026,0.419967042
19EF0478,EF,2019-09-10,0.787077934,,2.214298111,0.194383099,0.077538967,0.312538967,0.445077934
19EF0479,EF,2019-09-09,0.771888365,,2.833350876,0.259555818,0.07,0.293555818,0.420779088
19EF0480,EF,2019-09-09,0.775054983,,1.917592984,0.224538373,0.071,0.296054983,0.447758305
19EF0481,EF,2019-09-09,0.760467548,,1.946047772,0.243597356,0.069,0.289935096,0.436935096
19EF0482,EF,2019-09-09,0.778423146,,2.393014493,0.254122966,0.07,0.292392405,0.414846293
19EF0483,EF,2019-09-10,0.792,,3.075070104,0.190018494,0.077504624,0.314,0.453486129
19EF0484,EF,2019-09-10,0.7733,,2.523609667,0.2387,0.075383333,0.292916667,0.399066667
19EF0485,EF,2019-09-10,0.787021154,,2.162895913,0.216894231,0.078510577,0.307084615,0.420148077
19EF0486,EF,2019-09-10,0.778384685,,2.402086043,0.221769369,0.077,0.306845946,0.423461261
19EF0487,EF,2019-09-12,0.74339233,,2.548334281,0.289861357,0.06960767,0.270353982,0.386315634
19EF0488,EF,2019-09-12,0.777620893,,2.577570257,0.256379107,0.072379107,0.291620893,0.414
19EF0489,EF,2019-09-12,0.779861401,,2.884792134,0.2595693,0.072,0.291,0.4085693
19EF0490,EF,2019-09-12,0.778910798,,1.839386258,0.258647887,0.073117371,0.292117371,0.405676056
19EF0491,EF,2019-09-12,0.771813225,,1.920717738,0.270142691,0.072,0.287044084,0.398670534
19EF0492,EF,2019-09-12,0.786223751,,2.882829398,0.244477915,0.074,0.298761043,0.426671253
19EF0493,EF,2019-09-12,0.771279412,,2.733710293,0.267441176,0.071,0.287821895,0.40500817
19EF0494,EF,2019-09-12,0.772147567,,1.417290624,0.271262166,0.071536892,0.285127159,0.395032967
19EF0495,EF,2019-09-12,0.761977528,,2.482304329,0.284050562,0.069,0.278955056,0.387932584
19EF0496,EF,2019-09-12,0.777055511,,2.706036693,0.260250201,0.072527755,0.295222043,0.413860821
19EF0497,EF,2019-09-13,0.757155156,,2.506511405,0.26507474,0.077,0.277540208,0.377080416
19EF0498,EF,2019-09-13,0.749305861,,2.67320725,0.27965293,0.074,0.271694139,0.365388278
19EF0499,EF,2019-09-13,0.761244823,,1.914087401,0.254622412,0.076,0.284244823,0.385867235
19EF0500,EF,2019-09-13,0.759650161,,2.18034571,0.259699677,0.076,0.278233584,0.373500538
19EF0501,EF,2019-09-16,0.748,,2.428753863,0.293,0.07,0.265,0.378
19EF0502,EF,2019-09-16,0.741,,2.228134911,0.298,0.069,0.26,0.373
19EF0503,EF,2019-09-16,0.757924444,,2.127449489,0.270594444,0.069518889,0.278443333,0.404886667
19EF0504,EF,2019-09-16,0.756065442,,2.074709505,0.284869116,0.070532721,0.270598163,0.382532721
19EF0505,EF,2019-09-16,0.745319843,,1.904976791,0.30004047,0.069,0.263519582,0.372279373
19EF0506,EF,2019-09-16,0.743748918,,2.312083372,0.301251082,0.067549784,0.262549784,0.372099567
19EF0507,EF,2019-09-16,0.741003861,,1.965079475,0.292984556,0.069,0.263509653,0.381521236
19EF0508,EF,2019-09-16,0.721107955,,1.437923763,0.309261364,0.066738636,0.254369318,0.369522727
19EF0509,EF,2019-09-17,0.753301337,,1.982587861,0.276989064,0.069430134,0.272,0.394139733
19EF0510,EF,2019-09-17,0.759324635,,2.251453386,0.268467641,0.068441545,0.27576618,0.404973904
19EF0511,EF,2019-09-17,0.738991323,,2.349912421,0.303008677,0.067497831,0.259497831,0.371004338
19EF0512,EF,2019-09-17,0.74935782,,2.065677014,0.287886256,0.068471564,0.267699052,0.385454976
19EF0513,EF,2019-09-17,0.75239339,,2.267936461,0.271620469,0.071,0.269351812,0.403379531
19EF0514,EF,2019-09-17,0.730447826,,2.421566929,0.294278261,0.067517391,0.260826087,0.3901
19EF0515,EF,2019-09-17,0.737005425,,2.840322983,0.291502712,0.068,0.258994575,0.386497288
19EF0516,EF,2019-09-18,0.77142436,,2.877058368,0.257676493,0.070525213,0.285373933,0.410172227
19EF0517,EF,2019-09-18,0.754410256,,1.496444541,0.291230769,0.071,0.269589744,0.376769231
19EF0518,EF,2019-09-18,0.747728869,,2.244149274,0.292305159,0.067,0.267118551,0.387660812
19EF0519,EF,2019-09-18,0.745094771,,1.523336952,0.289452614,0.066547386,0.267094771,0.388452614
19EF0520,EF,2019-09-18,0.747207354,,2.416645442,0.295792646,0.069804903,0.259195097,0.368792646
19EF0521,EF,2019-09-18,0.743953811,,2.165219949,0.293488453,0.067488453,0.264534642,0.383557737
19EF0522,EF,2019-09-18,0.755190521,,2.522008231,0.272190521,0.068404739,0.278214218,0.410214218
19EF0523,EF,2019-09-18,0.744548495,,2.237518937,0.295,0.068,0.26696767,0.38393534
19EF0524,EF,2019-09-18,0.748837696,,2.342198186,0.296162304,0.068806283,0.265418848,0.378225131
19EF0525,EF,2019-09-18,0.779015276,,3.672718306,0.243477086,0.071,0.293507638,0.427015276
19EF0526,EF,2019-09-17,0.743595787,,2.496238778,0.283518556,0.068587763,0.259946841,0.389954865
