# These are copied from the output of the lidar_lai repository.,,,
# UTC-5,,,dimensionless
date,first_row,range,lai
2018-06-14,5,25,0.049656
2018-06-14,53,12,0.058731
2018-06-14,77,3,0.01174
2018-06-14,109,25,0.007711
2018-06-14,1,7,0.012553
2018-06-14,81,24,0.005813
2018-06-14,77,24,0.011165
2018-06-14,21,2,0.068138
2018-06-14,73,24,0.013269
2018-06-14,61,11,0.077573
2018-06-14,77,30,0.018583
2018-06-14,5,19,0.01487
2018-06-14,81,12,0.048959
2018-06-14,129,4,0.0818
2018-06-14,33,14,0.041829
2018-06-14,21,10,0.019454
2018-06-14,77,20,0.079311
2018-06-14,117,13,0.018761
2018-06-14,109,5,0.085818
2018-06-14,89,5,0.058942
2018-06-14,69,25,0.028618
2018-06-14,129,10,0.101314
2018-06-14,29,2,0.022589
2018-06-14,0,2,0.06476
2018-06-14,13,6,0.033184
2018-06-14,133,21,0.017988
2018-06-14,69,13,0.076891
2018-06-14,5,13,0.028325
2018-06-14,141,15,0.004256
2018-06-14,81,28,0.022654
2018-06-14,133,30,0.025781
2018-06-14,49,9,0.028198
2018-06-14,33,18,0.04119
2018-06-14,77,15,0.087331
2018-06-14,65,15,0.034736
2018-06-14,105,6,0.069229
2018-06-14,117,9,0.016314
2018-06-14,133,18,0.009193
2018-06-14,9,12,0.048958
2018-06-14,113,24,0.012924
2018-06-14,85,19,0.053872
2018-06-14,5,14,0.053973
2018-06-14,45,28,0.040556
2018-06-14,25,17,0.022644
2018-06-14,9,4,0.056806
2018-06-14,29,14,0.021911
2018-06-14,141,6,0.01657
2018-06-14,129,30,0.013361
2018-06-14,73,3,0.014066
2018-06-14,97,15,0.049502
2018-06-14,117,28,0.056451
2018-06-14,125,23,0.02245
2018-06-14,21,16,0.02005
2018-06-14,93,26,0.004898
2018-06-14,61,28,0.014923
2018-06-14,125,19,0.038224
2018-06-14,37,17,0.0554
2018-06-14,93,17,0.00937
2018-06-14,109,20,0.009174
2018-06-14,9,15,0.046028
2018-06-14,73,8,0.009724
2018-06-14,113,4,0.106229
2018-06-14,1,1,0.040702
2018-06-14,113,5,0.0807
2018-06-14,69,7,0.017297
2018-06-14,137,3,0.016266
2018-06-14,133,29,0.091865
2018-06-14,93,7,0.043861
2018-06-14,53,29,0.040636
2018-06-14,53,19,0.043768
2018-06-14,73,30,0.033447
2018-06-14,117,29,0.014048
2018-06-14,105,8,0.014824
2018-06-14,133,20,0.034671
2018-06-14,137,6,0.069116
2018-06-14,13,10,0.067805
2018-06-14,137,13,0.01778
2018-06-14,89,2,0.030893
2018-06-14,0,9,0.010239
2018-06-14,45,17,0.026774
2018-06-14,21,17,0.03814
2018-06-14,69,14,0.060454
2018-06-14,133,7,0.048403
2018-06-14,57,18,0.034769
2018-06-14,105,12,0.010968
2018-06-14,101,21,0.024624
2018-06-14,113,18,0.010848
2018-06-14,37,2,0.033193
2018-06-14,129,20,0.038863
2018-06-14,101,24,0.010764
2018-06-14,105,3,0.066173
2018-06-14,53,9,0.040767
2018-06-14,141,19,0.029384
2018-06-14,37,11,0.076752
2018-06-14,69,12,0.025885
2018-06-14,89,22,0.018566
2018-06-14,93,29,0.011714
2018-06-14,77,10,0.020977
2018-06-14,9,17,0.035437
2018-06-14,101,20,0.027627
2018-06-14,9,25,0.033909
2018-06-14,69,15,0.095398
2018-06-14,65,9,0.018572
2018-06-14,141,7,0.023968
2018-06-14,93,25,0.028231
2018-06-14,97,2,0.041151
2018-06-14,137,24,0.0059
2018-06-14,5,16,0.013642
2018-06-14,65,14,0.059323
2018-06-14,57,2,0.032684
2018-06-14,0,1,0.027679
2018-06-14,13,21,0.04241
2018-06-14,1,3,0.008237
2018-06-14,133,23,0.012115
2018-06-14,41,16,0.035515
2018-06-14,69,20,0.02062
2018-06-14,1,6,0.053329
2018-06-14,105,10,0.035763
2018-06-14,0,22,0.009328
2018-06-14,37,29,0.14052
2018-06-14,105,24,0.023178
2018-06-14,73,9,0.039039
2018-06-14,105,22,0.016458
