date,first_row,range,lai
6/8/2018,3,61,5.354397
6/8/2018,10,57,5.87386
6/8/2018,2,17,5.918728
6/8/2018,20,81,5.801201
6/8/2018,18,17,5.92792
6/8/2018,27,141,5.883671
6/8/2018,7,129,5.977753
6/8/2018,10,129,6.175301
6/8/2018,11,117,5.661135
6/8/2018,31,129,6.230841
6/8/2018,28,33,5.847277
6/8/2018,25,77,5.569899
6/8/2018,18,77,5.69163
6/8/2018,16,29,5.681462
6/8/2018,19,5,5.577199
6/8/2018,13,97,5.661565
6/8/2018,7,57,6.03958
6/8/2018,12,41,6.046205
6/8/2018,4,129,6.048769
6/8/2018,20,53,5.60849
6/8/2018,26,97,5.779002
6/8/2018,21,9,5.903423
6/8/2018,1,41,5.687657
6/8/2018,13,0,6.168241
6/8/2018,23,9,6.204986
6/8/2018,16,9,5.776451
6/8/2018,16,105,6.099952
6/8/2018,3,77,5.301735
6/8/2018,21,133,5.335952
6/8/2018,18,61,5.245223
6/8/2018,7,33,5.86127
6/8/2018,18,53,5.791171
6/8/2018,1,105,6.097842
6/8/2018,17,29,5.831903
6/8/2018,3,29,5.601728
6/8/2018,13,9,6.011297
6/8/2018,14,105,6.051456
6/8/2018,26,105,5.878933
6/8/2018,27,109,5.792278
6/8/2018,13,49,6.005418
6/8/2018,23,69,5.511479
6/8/2018,11,9,5.97976
6/8/2018,6,129,5.839262
6/8/2018,8,113,5.739839
6/8/2018,14,121,6.087748
6/8/2018,23,137,5.690988
6/8/2018,14,133,5.803901
6/8/2018,3,21,5.87409
6/8/2018,22,141,5.482245
6/8/2018,4,97,5.816025
6/8/2018,2,85,5.678557
6/8/2018,10,113,6.093824
6/8/2018,12,77,5.953355
6/8/2018,27,129,5.38619
6/8/2018,29,81,6.219892
6/8/2018,9,53,5.779097
6/8/2018,18,41,6.027041
6/8/2018,1,13,5.435932
6/8/2018,26,137,5.764033
6/8/2018,6,1,5.080398
6/8/2018,30,137,6.085733
6/8/2018,2,57,5.820607
6/8/2018,27,49,5.627777
6/8/2018,17,105,5.914112
6/8/2018,26,49,5.688324
6/8/2018,16,117,6.011727
6/8/2018,6,121,5.657026
6/8/2018,18,105,5.915886
