date,first_row,range,height
6/8/2018,49,3,63.86257
6/8/2018,69,11,63.886057
6/8/2018,41,16,67.283762
6/8/2018,89,26,62.096452
6/8/2018,101,22,62.230332
6/8/2018,1,3,61.699935
6/8/2018,133,18,61.77126
6/8/2018,21,24,67.893534
6/8/2018,121,4,65.344007
6/8/2018,65,11,66.149894
6/8/2018,133,2,62.400079
6/8/2018,37,7,64.785723
6/8/2018,93,18,64.057307
6/8/2018,29,21,65.083895
6/8/2018,125,12,65.214002
6/8/2018,81,13,62.562834
6/8/2018,29,19,64.346701
6/8/2018,77,8,64.686014
6/8/2018,117,20,62.554202
6/8/2018,109,24,66.329618
6/8/2018,73,29,62.78956
6/8/2018,85,10,63.355417
6/8/2018,125,19,64.894805
6/8/2018,21,9,63.811615
6/8/2018,101,5,66.613561
6/8/2018,13,13,64.051348
6/8/2018,121,23,65.413382
6/8/2018,77,31,68.934463
6/8/2018,133,17,62.106782
6/8/2018,53,31,64.83276
6/8/2018,93,10,64.925873
6/8/2018,105,20,62.373882
6/8/2018,33,31,65.389347
6/8/2018,81,22,61.698514
6/8/2018,0,9,62.613476
6/8/2018,81,17,65.17379
6/8/2018,97,9,65.782498
6/8/2018,125,28,62.120026
6/8/2018,137,15,63.301892
6/8/2018,133,30,62.815323
6/8/2018,9,18,65.013958
6/8/2018,65,31,64.314966
6/8/2018,125,7,64.570113
6/8/2018,21,4,66.218381
6/8/2018,61,21,66.94237
6/8/2018,65,14,64.2891
6/8/2018,21,27,63.117873
6/8/2018,65,30,62.817731
6/8/2018,133,6,62.944066
6/8/2018,133,28,64.214686
6/8/2018,113,7,62.687946
6/8/2018,29,2,68.173884
6/8/2018,41,6,64.316381
6/8/2018,97,31,62.235566
6/8/2018,17,11,62.691012
6/8/2018,45,23,68.086999
6/8/2018,37,31,67.636471
6/8/2018,89,10,62.735108
6/8/2018,137,25,64.182329
6/8/2018,77,26,65.393071
6/8/2018,5,23,63.247199
6/8/2018,37,19,64.710445
6/8/2018,125,4,65.524298
6/8/2018,25,4,62.102601
6/8/2018,137,7,62.418363
6/8/2018,129,3,62.892993
6/8/2018,77,14,64.334034
6/8/2018,97,20,63.569505
6/8/2018,61,13,65.78851
6/8/2018,1,5,62.594223
6/8/2018,113,22,62.637884
6/8/2018,45,6,65.758698
6/8/2018,125,29,65.97174
6/8/2018,133,3,63.581093
6/8/2018,53,19,64.92622
6/8/2018,45,24,65.318142
6/8/2018,49,21,63.469712
6/8/2018,45,31,70.367929
6/8/2018,89,11,62.383654
6/8/2018,25,5,61.560914
6/8/2018,41,10,63.080998
6/8/2018,0,19,62.620253
6/8/2018,125,17,64.099274
6/8/2018,93,17,63.954961
6/8/2018,29,18,64.099294
6/8/2018,141,26,62.580359
6/8/2018,129,15,61.681713
6/8/2018,37,18,63.942009
6/8/2018,5,3,62.436409
6/8/2018,25,2,63.210283
6/8/2018,125,25,63.903993
6/8/2018,77,15,65.291876
6/8/2018,21,16,63.007764
6/8/2018,33,15,63.10451
6/8/2018,25,30,63.555432
6/8/2018,129,17,61.490838
6/8/2018,125,5,71.052637
6/8/2018,73,8,61.608211
6/8/2018,77,6,65.977546
6/8/2018,129,9,62.956161
6/8/2018,41,3,66.028543
6/8/2018,81,4,63.991276
6/8/2018,53,6,63.363733
6/8/2018,89,29,62.452829
6/8/2018,73,26,63.111288
6/8/2018,105,4,62.772385
6/8/2018,57,11,62.046917
6/8/2018,13,5,63.856382
6/8/2018,121,11,63.012633
6/8/2018,49,23,64.113821
6/8/2018,117,31,63.154129
6/8/2018,89,1,62.970474
6/8/2018,93,24,62.30503
6/8/2018,57,12,61.970286
6/8/2018,69,24,68.084339
6/8/2018,101,15,63.599476
6/8/2018,37,14,64.75578
6/8/2018,13,31,65.433743
6/8/2018,25,14,62.098659
6/8/2018,69,10,63.865819
6/8/2018,85,25,65.042362
6/8/2018,61,28,64.193611
6/8/2018,49,18,64.514251
6/8/2018,53,8,62.479857
6/8/2018,65,6,63.001069
6/8/2018,17,25,63.154318
6/8/2018,9,15,63.256088
6/8/2018,17,15,63.638753
6/8/2018,29,7,62.996912
6/8/2018,69,18,63.842308
6/8/2018,101,11,62.996483
6/8/2018,33,17,63.838514
6/8/2018,57,29,63.080667
6/8/2018,65,22,63.168206
6/8/2018,69,3,65.776223
6/8/2018,101,26,64.422192
6/8/2018,57,19,63.249947
6/8/2018,49,28,62.927674
6/8/2018,109,11,65.570606
6/8/2018,125,14,65.084231
6/8/2018,101,2,63.4944
6/8/2018,25,6,61.397206
6/8/2018,0,25,63.979972
6/8/2018,1,1,63.333488
6/8/2018,113,3,63.809455
6/8/2018,69,20,64.86756
6/8/2018,45,28,65.01857
6/8/2018,45,22,64.903437
6/8/2018,41,15,63.194347
6/8/2018,29,11,64.232663
6/8/2018,141,4,63.200301
6/8/2018,9,12,63.797477
6/8/2018,129,28,62.495273
6/8/2018,57,14,64.13565
6/8/2018,137,28,62.395659
6/8/2018,17,6,64.715331
6/8/2018,41,31,65.635526
6/8/2018,73,20,63.705918
6/8/2018,17,21,64.374084
6/8/2018,65,18,63.2672
6/8/2018,53,14,64.90299
6/8/2018,137,2,62.333672
